trip_id,stop_id,trip_date,arrival_delay,route_id,sch_arrival_time,sch_departure_time,stop_sequence,stop_name,stop_lat,stop_lon,arrival_time,departure_delay,departure_time
13276205,299,11-24-2022,-125,6612,1669322034,1669322034,29,Westbound W 41 Ave @ Blenheim St,49.234831,-123.179103,1669321909,-125,1669321909
13276205,299,12-05-2022,-126,6612,1670272433,1670272433,29,Westbound W 41 Ave @ Blenheim St,49.234831,-123.179103,1670272307,-126,1670272307
13276205,299,12-06-2022,-120,6612,1670358833,1670358833,29,Westbound W 41 Ave @ Blenheim St,49.234831,-123.179103,1670358713,-120,1670358713
13339274,299,11-26-2022,-126,6612,1669522613,1669522613,29,Westbound W 41 Ave @ Blenheim St,49.234831,-123.179103,1669522487,-126,1669522487
13276205,299,11-28-2022,-114,6612,1669667633,1669667633,29,Westbound W 41 Ave @ Blenheim St,49.234831,-123.179103,1669667519,-114,1669667519
13276166,124,12-01-2022,-133,6612,1669947851,1669947851,23,Southbound Quesnel Dr @ W King Edward Ave,49.249603,-123.171914,1669947718,-133,1669947718
13276166,124,11-22-2022,-114,6612,1669170251,1669170251,23,Southbound Quesnel Dr @ W King Edward Ave,49.249603,-123.171914,1669170137,-114,1669170137
13276176,299,12-02-2022,-153,6612,1670026013,1670026013,29,Westbound W 41 Ave @ Blenheim St,49.234831,-123.179103,1670025860,-153,1670025860
13276176,299,11-29-2022,-126,6612,1669766813,1669766813,29,Westbound W 41 Ave @ Blenheim St,49.234831,-123.179103,1669766687,-126,1669766687
13276125,300,11-29-2022,-234,6612,1669736031,1669736031,30,Westbound W 41 Ave @ Collingwood St,49.234836,-123.182546,1669735797,-234,1669735797
13276184,114,12-06-2022,-119,6612,1670367519,1670367519,19,Westbound W 16 Ave @ Macdonald St,49.257816,-123.168896,1670367400,-119,1670367400
13276176,299,12-08-2022,-142,6612,1670544413,1670544413,29,Westbound W 41 Ave @ Blenheim St,49.234831,-123.179103,1670544271,-142,1670544271
13276125,300,12-05-2022,-127,6612,1670254431,1670254431,30,Westbound W 41 Ave @ Collingwood St,49.234836,-123.182546,1670254304,-127,1670254304
13276224,299,11-30-2022,-114,6612,1669851834,1669851834,29,Westbound W 41 Ave @ Blenheim St,49.234831,-123.179103,1669851720,-114,1669851720
13276229,54,11-23-2022,-124,6612,1669258126,1669258126,22,Eastbound W 16 Ave @ Trutch St,49.257636,-123.175459,1669258002,-124,1669258002
13276168,12671,11-30-2022,-129,6612,1669866599,1669866599,28,Westbound W 41 Ave @ Carnarvon St,49.234826,-123.174148,1669866470,-129,1669866470
13276119,115,12-05-2022,-120,6612,1670259729,1670259729,20,Westbound W 16 Ave @ Mackenzie St,49.257839,-123.170777,1670259609,-120,1670259609
13276224,299,12-02-2022,-123,6612,1670024634,1670024634,29,Westbound W 41 Ave @ Blenheim St,49.234831,-123.179103,1670024511,-123,1670024511
13276168,12671,11-24-2022,-113,6612,1669348199,1669348199,28,Westbound W 41 Ave @ Carnarvon St,49.234826,-123.174148,1669348086,-113,1669348086
13276648,128,12-04-2022,-125,6612,1670184769,1670184769,25,Southbound Mackenzie St @ W 33 Ave,49.241997,-123.170345,1670184644,-125,1670184644
13276229,54,11-25-2022,-117,6612,1669430926,1669430926,22,Eastbound W 16 Ave @ Trutch St,49.257636,-123.175459,1669430809,-117,1669430809
13276119,115,11-23-2022,-116,6612,1669222929,1669222929,20,Westbound W 16 Ave @ Mackenzie St,49.257839,-123.170777,1669222813,-116,1669222813
13276168,12671,11-25-2022,-144,6612,1669434599,1669434599,28,Westbound W 41 Ave @ Carnarvon St,49.234826,-123.174148,1669434455,-144,1669434455
13276119,115,12-07-2022,-127,6612,1670432529,1670432529,20,Westbound W 16 Ave @ Mackenzie St,49.257839,-123.170777,1670432402,-127,1670432402
13276168,12671,11-22-2022,-119,6612,1669175399,1669175399,28,Westbound W 41 Ave @ Carnarvon St,49.234826,-123.174148,1669175280,-119,1669175280
13276229,54,12-02-2022,-121,6612,1670035726,1670035726,22,Eastbound W 16 Ave @ Trutch St,49.257636,-123.175459,1670035605,-121,1670035605
13276194,1379,12-02-2022,-141,6612,1670024365,1670024365,14,Southbound Macdonald St @ W 4th Ave,49.268064,-123.168411,1670024224,-141,1670024224
13276115,126,11-23-2022,-133,6612,1669244141,1669244141,24,Southbound Mackenzie St @ W 29 Ave,49.245848,-123.170308,1669244008,-133,1669244008
13276230,119,11-22-2022,-3118,6612,1669178963,1669178963,20,Southbound Macdonald St @ W 21 Ave,49.253375,-123.16787,1669175845,-3118,1669175845
13276230,119,11-22-2022,-3118,6612,1669178963,1669178963,20,Southbound Macdonald St @ W 21 Ave,49.253375,-123.16787,1669175845,-3118,1669175845
13276225,1379,11-30-2022,-191,6612,1669850540,1669850540,14,Southbound Macdonald St @ W 4th Ave,49.268064,-123.168411,1669850349,-191,1669850349
13276119,115,11-28-2022,-167,6612,1669654929,1669654929,20,Westbound W 16 Ave @ Mackenzie St,49.257839,-123.170777,1669654762,-167,1669654762
13276168,12671,12-06-2022,-167,6612,1670384999,1670384999,28,Westbound W 41 Ave @ Carnarvon St,49.234826,-123.174148,1670384832,-167,1670384832
13276229,54,11-28-2022,-122,6612,1669690126,1669690126,22,Eastbound W 16 Ave @ Trutch St,49.257636,-123.175459,1669690004,-122,1669690004
13276229,54,11-28-2022,-122,6612,1669690126,1669690126,22,Eastbound W 16 Ave @ Trutch St,49.257636,-123.175459,1669690004,-122,1669690004
13276229,54,11-28-2022,-122,6612,1669690126,1669690126,22,Eastbound W 16 Ave @ Trutch St,49.257636,-123.175459,1669690004,-122,1669690004
13276229,54,11-29-2022,-145,6612,1669776526,1669776526,22,Eastbound W 16 Ave @ Trutch St,49.257636,-123.175459,1669776381,-145,1669776381
13276229,54,11-30-2022,-123,6612,1669862926,1669862926,22,Eastbound W 16 Ave @ Trutch St,49.257636,-123.175459,1669862803,-123,1669862803
13276229,54,11-30-2022,-123,6612,1669862926,1669862926,22,Eastbound W 16 Ave @ Trutch St,49.257636,-123.175459,1669862803,-123,1669862803
13276229,54,11-30-2022,-123,6612,1669862926,1669862926,22,Eastbound W 16 Ave @ Trutch St,49.257636,-123.175459,1669862803,-123,1669862803
13276235,111,11-22-2022,-3843,6612,1669175472,1669175472,17,Southbound Macdonald St @ W 11 Ave,49.261885,-123.16835,1669171629,-3843,1669171629
13276225,1379,11-23-2022,-161,6612,1669245740,1669245740,14,Southbound Macdonald St @ W 4th Ave,49.268064,-123.168411,1669245579,-161,1669245579
13276224,299,11-25-2022,-122,6612,1669419834,1669419834,29,Westbound W 41 Ave @ Blenheim St,49.234831,-123.179103,1669419712,-122,1669419712
13276235,111,11-28-2022,-141,6612,1669693872,1669693872,17,Southbound Macdonald St @ W 11 Ave,49.261885,-123.16835,1669693731,-141,1669693731
13276139,119,11-28-2022,-892,6612,1669708043,1669708043,20,Southbound Macdonald St @ W 21 Ave,49.253375,-123.16787,1669707151,-892,1669707151
13276139,119,11-28-2022,-892,6612,1669708043,1669708043,20,Southbound Macdonald St @ W 21 Ave,49.253375,-123.16787,1669707151,-892,1669707151
13276139,119,11-28-2022,-892,6612,1669708043,1669708043,20,Southbound Macdonald St @ W 21 Ave,49.253375,-123.16787,1669707151,-892,1669707151
13276119,115,12-02-2022,-240,6612,1670000529,1670000529,20,Westbound W 16 Ave @ Mackenzie St,49.257839,-123.170777,1670000289,-240,1670000289
